Species,LATITUDE,LONGITUDE
Anoura cultrata,0.125,-78.62666667
Anoura cultrata,-1.445833333,-78.22055556
Anoura cultrata,-4.090555556,-78.9575
Anoura cultrata,-3.9825,-78.62972222
Anoura cultrata,-3.914352778,-78.49168056
Anoura fistulata,0.330833333,-78.93194444
Anoura fistulata,-3.518333333,-78.42722222
Anoura fistulata,-2.5525,-77.89666667
Anoura fistulata,-2.21645,-78.12645833
Anoura fistulata,-0.641666667,-77.8375
Anoura fistulata,-0.571944444,-77.60111111
Anoura fistulata,-0.55,-77.83333333
Anoura fistulata,-0.25,-77.68333333
Anoura fistulata,-0.133055556,-77.18542778
Anoura fistulata,-1.466666667,-78.11861111
Anoura fistulata,-0.133055556,-78.75325556
Anoura fistulata,-0.002222222,-78.68388889
Anoura fistulata,0,-78.66666667
Anoura fistulata,0,-78.5147
Anoura fistulata,0.007416667,-78.68177778
Anoura fistulata,-0.216666667,-78.81666667
Anoura fistulata,-4.546666667,-79.06805556
Anoura fistulata,-4.038611111,-78.59444444
Anoura fistulata,-4.033888889,-78.57
Anoura fistulata,-3.915833333,-78.4925
Anoura fistulata,-3.901388889,-78.49299722
Anoura fistulata,-3.756727778,-78.50202778
Anoura fistulata,-3.635555556,-78.38944444
Anoura geoffroyi,-3.345,-79.29
Anoura geoffroyi,-2.916666667,-78.96666667
Anoura geoffroyi,-2.883333333,-79
Anoura geoffroyi,-2.87,-79.07
Anoura geoffroyi,-1.816666667,-79.13333333
Anoura geoffroyi,-1.6,-78.63333333
Anoura geoffroyi,0.6,-77.78666667
Anoura geoffroyi,0.720001,-77.96999963
Anoura geoffroyi,0.816666667,-77.66666667
Anoura geoffroyi,-0.42,-79
Anoura geoffroyi,-3.45,-79.96666667
Anoura geoffroyi,0.533333333,-78.63333333
Anoura geoffroyi,0.983333333,-79.65555556
Anoura geoffroyi,0.216666667,-78.25
Anoura geoffroyi,0.285,-78.315
Anoura geoffroyi,0.492089,-78.18189845
Anoura geoffroyi,0.756666667,-78.28833333
Anoura geoffroyi,-4.43,-80.3
Anoura geoffroyi,-4.333333333,-79.4
Anoura geoffroyi,-4.3,-79.4
Anoura geoffroyi,-4.034,-79.19722222
Anoura geoffroyi,-4,-79.2
Anoura geoffroyi,-1.614166667,-80.68472222
Anoura geoffroyi,-1.6,-80.7
Anoura geoffroyi,-3.083333333,-78.21666667
Anoura geoffroyi,-2.468888889,-78.2025
Anoura geoffroyi,-2.466666667,-78.16666667
Anoura geoffroyi,-2.3175,-78.27555556
Anoura geoffroyi,-2.155102778,-78.14525
Anoura geoffroyi,-2.065277778,-78.15638889
Anoura geoffroyi,-0.64,-77.95
Anoura geoffroyi,-0.616388889,-77.83166667
Anoura geoffroyi,-0.571944444,-77.60111111
Anoura geoffroyi,-0.55,-77.83333333
Anoura geoffroyi,-0.25,-77.68333333
Anoura geoffroyi,-0.15,-77.38
Anoura geoffroyi,0.216666667,-78.06666667
Anoura geoffroyi,-1.503611111,-78.02722222
Anoura geoffroyi,-1.466666667,-78.11861111
Anoura geoffroyi,-1.45,-78.11861111
Anoura geoffroyi,-1.422983,-78.03377297
Anoura geoffroyi,-1.400833333,-78.04166667
Anoura geoffroyi,-0.57,-78.53
Anoura geoffroyi,-0.43,-78.58
Anoura geoffroyi,-0.42,-78.37
Anoura geoffroyi,-0.372777778,-78.50388889
Anoura geoffroyi,-0.326944444,-78.68916667
Anoura geoffroyi,-0.283333333,-78.65
Anoura geoffroyi,-0.238933333,-78.68444444
Anoura geoffroyi,-0.233333333,-78.76666667
Anoura geoffroyi,-0.23,-78.82
Anoura geoffroyi,-0.18,-78.45
Anoura geoffroyi,-0.175563889,-78.53242778
Anoura geoffroyi,-0.166666667,-78.55
Anoura geoffroyi,-0.11,-78.59
Anoura geoffroyi,-0.098055556,-78.41972222
Anoura geoffroyi,-0.0669,-78.5767
Anoura geoffroyi,-0.051152778,-78.64506944
Anoura geoffroyi,-0.033333333,-78.8
Anoura geoffroyi,-0.03,-78.35
Anoura geoffroyi,-0.024347,-78.36627127
Anoura geoffroyi,-0.016666667,-78.45
Anoura geoffroyi,0.003611111,-78.68611111
Anoura geoffroyi,0.004444444,-78.3575
Anoura geoffroyi,0.05,-78.13333333
Anoura geoffroyi,0.083333333,-78.06666667
Anoura geoffroyi,0.11,-78.62
Anoura geoffroyi,0.125,-78.62666667
Anoura geoffroyi,-0.216666667,-78.81666667
Anoura geoffroyi,-0.4,-76.63333333
Anoura geoffroyi,-1.385555556,-78.28027778
Anoura geoffroyi,-1.383333333,-78.41666667
Anoura geoffroyi,-1.361618,-78.20189678
Anoura geoffroyi,-1.35,-78.63333333
Anoura geoffroyi,-1.256944444,-78.3675
Anoura geoffroyi,-1.233333333,-78.61666667
Anoura geoffroyi,-1.13,-78.6
Anoura geoffroyi,-4.55,-79.08333333
Anoura geoffroyi,-3.8945,-78.47851111
Anoura geoffroyi,-3.64,-78.63333333
Anoura peruana,-2,-78.95
Anoura peruana,-3,-79.78333333
Anoura peruana,-0.016666667,-78.88333333
Artibeus aequatorialis,-3.061447222,-79.693725
Artibeus aequatorialis,-3.051388889,-79.7175
Artibeus aequatorialis,-1.633333333,-79.25
Artibeus aequatorialis,-1.45,-79.3
Artibeus aequatorialis,-2.566666667,-79.35
Artibeus aequatorialis,0.756666667,-78.28833333
Artibeus aequatorialis,0.826666667,-78.31666667
Artibeus aequatorialis,1.001944444,-78.23638889
Artibeus aequatorialis,-2,-78.95
Artibeus aequatorialis,-0.793055556,-79.15
Artibeus aequatorialis,-0.366666667,-78.91666667
Artibeus aequatorialis,-0.3,-78.95
Artibeus aequatorialis,-3.8795,-80.09286111
Artibeus aequatorialis,-3.8,-79.56666667
Artibeus aequatorialis,-3.766583333,-79.64747222
Artibeus aequatorialis,-3.7365,-79.59475
Artibeus aequatorialis,-3.702,-79.62177778
Artibeus aequatorialis,-3.683333333,-79.61666667
Artibeus aequatorialis,-3.680888889,-79.58194444
Artibeus aequatorialis,-3.674277778,-80.10555556
Artibeus aequatorialis,-3.656694444,-80.18227778
Artibeus aequatorialis,-3.333333333,-79.81666667
Artibeus aequatorialis,0.316666667,-79.48333333
Artibeus aequatorialis,0.333333333,-79.46666667
Artibeus aequatorialis,0.350555556,-79.70888889
Artibeus aequatorialis,0.5,-79.96666667
