OBJECTID,Family,Species,Trophic_Guild,Weight,SOURCE,Weight,Source 2,MUSEUM NUMBER ,Provincia,Localidad,Lat,Long,LATITUDE,LONGITUDE,Elevation,Reference,,,,,,,,
23,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112484,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000,,,,,,,,
24,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112485,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
25,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112486,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
26,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112487,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
27,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112488,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
28,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112489,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
29,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112490,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000,,,,,,,,
30,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112491,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000,,,,,,,,
31,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112492,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000,,,,,,,,
32,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112493,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000,,,,,,,,
